displacement,lcf,kmt,draft,gm,kg,lcb
20081.60,105.21,21.85,4.465,7.70,14.16,105.531
20348.80,105.18,21.70,4.515,7.48,14.22,105.526
20616.60,105.14,21.55,4.565,7.26,14.29,105.521
20885.00,105.09,21.41,4.615,7.05,14.36,105.516
21154.00,105.04,21.28,4.665,6.83,14.45,105.511
21423.70,104.99,21.15,4.715,6.63,14.52,105.504
21694.10,104.94,21.02,4.765,6.43,14.59,105.498
21965.10,104.88,20.89,4.815,6.25,14.64,105.49
22236.70,104.83,20.77,4.865,6.20,14.57,105.483
22509.00,104.77,20.65,4.915,6.20,14.45,105.474
22782.00,104.71,20.53,4.965,6.20,14.33,105.465
23055.60,104.66,20.42,5.015,6.20,14.22,105.456
23329.80,104.60,20.30,5.065,6.20,14.10,105.446
23604.60,104.54,20.20,5.115,6.20,14.00,105.436
23880.10,104.48,20.09,5.165,6.20,13.89,105.425
24156.30,104.41,19.99,5.215,6.20,13.79,105.414
24433.00,104.35,19.89,5.265,6.05,13.84,105.403
24710.50,104.28,19.79,5.315,5.90,13.89,105.39
24988.50,104.22,19.69,5.365,5.75,13.94,105.378
25267.20,104.15,19.60,5.415,5.60,14.00,105.364
25546.60,104.09,19.51,5.465,5.45,14.05,105.351
25827.10,103.86,19.56,5.515,5.31,14.26,105.336
26108.50,103.79,19.47,5.565,5.16,14.32,105.319
26390.60,103.73,19.39,5.615,5.01,14.38,105.303
26673.40,103.66,19.30,5.665,4.86,14.44,105.286
26956.70,103.60,19.22,5.715,4.71,14.51,105.268
27240.70,103.52,19.13,5.765,4.56,14.58,105.25
27525.40,103.44,19.06,5.815,4.41,14.65,105.232
27810.80,103.34,18.99,5.865,4.26,14.73,105.213
28096.90,103.27,18.92,5.915,4.11,14.81,105.193
28383.50,103.21,18.84,5.965,3.96,14.88,105.174
28670.80,103.15,18.77,6.015,3.81,14.95,105.154
28958.70,103.07,18.70,6.065,3.67,15.03,105.133
29247.30,102.97,18.64,6.115,3.52,15.12,105.113
29536.50,102.91,18.57,6.165,3.37,15.20,105.091
29826.30,102.86,18.50,6.215,3.22,15.28,105.07
30116.70,102.70,18.44,6.265,3.07,15.37,105.048
30408.00,102.52,18.39,6.315,2.92,15.47,105.025
30700.50,102.33,18.36,6.365,2.78,15.58,105
30993.70,102.29,18.30,6.415,2.71,15.59,104.975
31287.40,102.25,18.23,6.465,2.63,15.60,104.949
31581.60,102.17,18.17,6.515,2.55,15.62,104.924
31876.60,102.02,18.13,6.565,2.47,15.67,104.898
32172.40,101.96,18.08,6.615,2.39,15.69,104.871
32468.70,101.94,18.01,6.665,2.31,15.70,104.844
32765.70,101.78,17.98,6.715,2.23,15.75,104.817
33063.70,101.66,17.94,6.765,2.15,15.79,104.789
33362.60,101.49,17.90,6.815,2.07,15.83,104.761
33662.70,101.33,17.87,6.865,2.00,15.88,104.73
33963.50,101.29,17.82,6.915,1.92,15.90,104.7
34264.90,101.25,17.77,6.965,1.84,15.93,104.67
34567.20,101.08,17.75,7.015,1.76,15.99,104.639
34870.10,101.06,17.70,7.065,1.679,16.017,104.609